Player,Squad,League,Age,Pos,Altura_cm,Pie,Finaliza_Contrato,Valor_M€,Score_TANK,p_Efficiency,Score_Final
Christian Kofane,Leverkusen,Bundesliga,19,"FW,MF",186.0,Right,No,22.0,54.115853658536594,56.09756097560976,53.19512195121951
Evan Ferguson,Roma,Serie A,21,FW,188.0,Right,No,25.0,64.1158536585366,60.97560975609756,60.929725609756105
Ibrahim Mbaye,Paris Saint-Germain,Ligue 1,18,"FW,MF",188.0,Right,No,25.0,31.371951219512198,29.268292682926827,29.203628048780487
Ilyas Ansah,Union Berlin,Bundesliga,21,"MF,FW",194.0,Right,No,12.0,52.80487804878048,80.48780487804879,59.631219512195116
Kenan Yıldız,Juventus,Serie A,20,"MF,FW",185.0,Right,No,75.0,49.329268292682926,2.4390243902439024,33.53567073170731
Rodrigo Mendoza,Elche,La Liga,20,"MF,FW",185.0,Right,No,15.0,20.975609756097562,34.146341463414636,24.633170731707317
Said El Mala,Köln,Bundesliga,19,"FW,MF",186.0,Right,No,40.0,75.51829268292683,46.34146341463415,64.65073170731706
Álvaro Rodríguez,Elche,La Liga,21,FW,193.0,Left,No,4.0,64.32926829268293,100.0,74.12987804878048
